image_name,category,subcategory
image_659698_product_822774.jpg,PlayStation,Jeux PS1
image_54547530_product_929584.jpg,PC Gaming,Jeux PC
image_62369530_product_2242928.jpg,SEGA,Autres
image_283812671_product_15511645.jpg,PlayStation,Jeux PS2
image_848934197_product_80184781.jpg,Nintendo,Jeux Game Boy
image_873763964_product_119565640.jpg,PC Gaming,Jeux PC
image_874714971_product_1766378.jpg,PC Gaming,Jeux PC
image_874726355_product_50692880.jpg,Xbox,Jeux Xbox 360
image_874729653_product_65150348.jpg,Nintendo,Jeux Nintendo Wii
image_583198100_product_54284822.jpg,PlayStation,Jeux PSP
image_652832876_product_53217499.jpg,Nintendo,Jeux Game Boy Advance
image_909691819_product_154047460.jpg,Nintendo,Jeux Nintendo DS
image_933235167_product_190091612.jpg,PC Gaming,Jeux PC
image_933245076_product_190101189.jpg,PC Gaming,Jeux PC
image_874731282_product_76560739.jpg,PlayStation,Jeux PS2
image_891725998_product_138459977.jpg,PlayStation,Jeux PSP
image_891732671_product_138460493.jpg,PlayStation,Jeux PS3
image_891740976_product_138463871.jpg,Nintendo,Jeux Nintendo DS
image_892937913_product_124679036.jpg,PC Gaming,Jeux PC
image_896432874_product_142698225.jpg,SEGA,Saturn
image_902210668_product_147298882.jpg,Nintendo,Jeux Nintendo 3DS
image_906099813_product_149145060.jpg,PlayStation,Jeux PSVITA
image_933248348_product_190101877.jpg,Nintendo,Jeux Nintendo DS
image_933447173_product_190543353.jpg,PC Gaming,Jeux PC
image_937776943_product_192607595.jpg,PC Gaming,Jeux PC
image_955850685_product_1297834.jpg,Xbox,Jeux Xbox Classic
image_1186985707_product_3040901566.jpg,PlayStation,Jeux PS2
image_1211700782_product_3250210074.jpg,Nintendo,Jeux Nintendo Switch
image_874731199_product_74093483.jpg,PlayStation,Jeux PS3
image_874731370_product_49948298.jpg,Nintendo,Jeux Game Boy Advance
image_881487935_product_126111824.jpg,Nintendo,Jeux Nintendo DS
image_1068342_product_3108655.jpg,Nintendo,Jeux Game Boy Advance
image_77378530_product_1511251.jpg,SEGA,MEGA DRIVE
image_689615053_product_56875966.jpg,PlayStation,Jeux PS1
image_834625716_product_2922066.jpg,Nintendo,Jeux Super Nintendo
image_858267336_product_80597800.jpg,PlayStation,Jeux PS3
